Send Rates,Block Size,Avg Latency,Throughput
70.1,55,0.53,61.5
45.1,725,1.24,43.4
100.2,605,0.84,94.6
120.3,500,0.83,97
170.3,730,0.69,162.5
155.2,735,0.82,120.4
95.1,800,0.84,80.8
90.2,205,0.92,80.2
55.1,490,1.28,53.4
120.3,300,0.82,98.1
20,315,1.13,19.3
95.1,580,0.82,79.7
55.1,125,1.29,52.8
130.2,555,0.83,120
155.4,210,0.72,120.8
135.2,630,0.81,121.6
160.3,785,0.67,122
105.1,540,0.79,96.5
155.5,175,0.77,121.9
130.4,550,0.83,119.5
85.1,600,0.89,81.3
155.2,240,0.72,119.3
185.4,400,0.79,154
190.8,325,0.81,156.8
115.2,50,0.35,113.9
95.1,270,0.86,80.4
135.2,655,0.8,119.6
180.3,750,0.65,164.2
195.3,435,0.77,156.3
35,490,1.19,34.1
25,725,1.15,24.1
170.3,120,0.7,129.2
90.1,520,0.9,80.6
194.7,720,0.76,159
60.1,550,1.28,53.7
105.2,125,0.85,103
135.4,555,0.82,120.4
60.1,770,1.34,57.8
30,430,1.17,28.3
95.1,600,0.84,79.9
70.1,590,1.14,61.4
190.3,380,0.71,160.7
105.2,60,0.48,88.5
125.2,665,0.8,117.9
198.7,410,0.86,157.5
20,280,1.13,19.3
45.1,500,1.26,42.9
70.1,575,1.13,61.5
95.2,780,0.86,81.5
175.1,90,0.54,130.1
185.7,535,0.73,160.2
15,725,1.11,14.7
130.4,495,0.81,120.1
65.1,670,1.26,60.8
169.4,225,0.67,162.3
75.1,110,0.97,65.1
85.1,780,0.95,80.1
20,500,1.13,19.3
35,130,1.21,33.9
35,535,1.21,34
195.4,430,0.78,157.1
10,265,1.09,9.8
195.8,200,0.77,159.4
50.1,300,1.28,47.5
189.5,35,0.36,137.2
20,605,1.14,19.3
80.1,55,0.5,69
130.4,305,0.82,118.4
10,660,1.09,9.9
20,670,1.14,19.4
160.5,120,0.76,122.6
165.5,195,0.65,160.4
35,15,0.27,33
169.5,445,0.66,162.7
150.2,750,0.86,119.1
15,275,1.13,14.7
65.1,730,1.26,61
180.3,235,0.66,163.3
10,745,1.08,9.9
195.5,330,0.73,158.9
140.2,685,0.8,122.3
195.4,35,0.35,141
55.1,535,1.32,51.7
134.9,65,0.47,106.1
155.3,695,0.75,121.3
190.3,785,0.84,154.6
150.2,35,0.25,115.6
160.3,35,0.24,121.5
60.1,20,0.22,59.9
165.3,535,0.69,122.9
150.2,780,0.8,120.1
180.1,385,0.66,164.2
25,340,1.15,24.1
105.3,85,0.68,89.7
130.2,800,0.84,119.6
180.3,690,0.7,164.2
125.2,295,0.82,117.6
80.1,485,0.92,69.5
45.1,770,1.25,42.9
145.2,660,0.89,119.8
75.1,45,0.41,65.4
90.1,80,0.68,77.8
169.3,370,0.69,160.3
85.1,195,0.97,79.7
165.6,605,0.65,160.8
110.2,40,0.27,109.1
160.2,745,0.72,122.1
35,720,1.19,34.5
25,585,1.14,24.1
65.1,435,1.27,60.3
95.1,290,0.83,79.6
35,315,1.2,34.1
130.2,295,0.86,119.3
90.1,685,0.92,80.2
20,625,1.12,19.4
85.1,245,0.95,79.1
95.1,530,0.84,79.7
165.3,445,0.68,161.1
60.1,585,1.31,58.8
95.1,495,0.86,80.6
115.2,150,0.85,98.1
196.9,210,0.78,159.7
164.4,220,0.74,122.3
195.4,195,0.79,158
65.1,80,0.82,59
100.2,730,0.79,95.7
75.1,615,1.04,69.6
65.1,390,1.31,60.9
95.1,190,0.86,81.1
20,380,1.14,19.4
190.1,275,0.76,155.6
100.2,785,0.8,95.4
120.1,275,0.83,117.1
140.1,145,0.79,122.4
10,85,1.11,9.9
15,715,1.1,14.7
163.6,130,0.68,156.6
145.4,15,0.15,112.6
20,35,0.94,19.6
150.2,285,0.91,121.2
85.1,535,0.88,81.5
40,745,1.2,37.3
164.3,200,0.72,159.4
40,715,1.2,39.8
90.1,555,0.91,79.8
55.1,405,1.27,53.3
155.5,205,0.78,121.2
115.2,350,0.89,95.9
100.2,340,0.84,95.2
199.3,350,0.8,159.6
195.2,270,0.78,158.8
20,70,1.13,19.3
20,345,1.14,19.3
10,615,1.08,9.9
45.1,750,1.26,43.3
195,495,0.74,157.7
100.3,220,0.81,95.5
145.2,45,0.3,112.6
75.1,375,1.05,69.5
150.2,480,0.94,121.3
55.1,135,1.31,52.4
70.1,345,1.14,61.2
100.2,545,0.81,95.8
75.1,160,1.04,69.3
120.2,445,0.81,116.5
105.2,575,0.8,97.5
125.4,335,0.83,117.6
175.1,635,0.65,161.5
45.1,275,1.26,43.1
165.2,640,0.68,123.9
75.1,735,1.07,68.9
185.6,185,0.74,163.9
140.2,125,0.77,136.4
120.2,25,0.17,119.3
115.1,385,0.85,93.8
120.1,640,0.82,116.9
160.4,245,0.66,121.7
198.2,685,0.81,158.5
195.3,500,0.76,158.1
10,315,1.08,9.8
169.8,650,0.68,162.9
150.3,470,0.86,120.3
150.2,765,0.81,122
20,510,1.13,19.3
50.1,715,1.3,46.9
198.9,360,0.78,158.2
105.2,505,0.81,98.9
20,125,1.12,19.3
160.3,340,0.72,122.9
80.1,410,0.95,69.6
30,230,1.16,29.8
10,305,1.08,9.9
115.2,270,0.86,96.8
80.1,635,0.94,69.9
105.2,360,0.79,97.7
120.2,315,0.83,98.6
65.1,545,1.3,60.3
80.1,85,0.78,71.8
75.1,415,1.04,69.9
125.3,250,0.77,121.3
60.1,125,1.27,53.2
189.7,705,0.77,154.9
45.1,285,1.25,43.3
75.1,460,1.05,69.4
130.3,475,0.84,119.5
135.2,105,0.7,108.2
175.3,325,0.66,163.6
115.2,35,0.28,94.1
100.2,170,0.81,97.4
65.1,55,0.57,57.5
15,595,1.13,14.7
200.4,155,0.94,159.8
120.1,90,0.59,96.4
30,125,1.17,29.9
130.2,105,0.73,104.9
35,100,1.2,34
165.3,130,0.62,162.9
145.2,715,0.87,120.1
65.1,710,1.3,60.4
10,255,1.08,9.8
90.2,185,0.92,81.1
110.2,540,0.9,95.5
45.1,240,1.3,42.8
164.4,775,0.9,159.4
75.1,700,1.05,69
80.1,785,0.93,69.1
135.5,630,0.83,119.9
100.1,385,0.81,95.8
90.1,30,0.27,76.4
145.2,625,0.88,120.1
25,225,1.16,24
155.4,630,0.78,122.3
45.1,325,1.23,43.3
70.1,310,1.13,61.2
130.2,145,0.82,120.4
197.5,800,0.79,158.5
20,520,1.15,19.2
10,790,1.08,9.9
50.1,535,1.28,47.4
115.2,360,0.85,96.9
185.4,640,0.8,154
75.1,605,1.05,69.5
185.3,630,0.71,160.4
140.2,745,0.79,122.3
45.1,40,0.53,44.9
130.2,285,0.81,119.7
55.1,250,1.32,51.6
140.4,95,0.64,112
60.1,450,1.32,58.2
100.2,650,0.81,97.5
165.2,705,0.64,159.6
160.5,605,0.69,122.5
180.2,315,0.75,156.6
10,25,1.11,9.9
30,370,1.18,29.7
168.7,130,0.7,161.7
35,500,1.2,34.1
200.7,450,0.68,157.7
110.2,335,0.89,93.9
120.2,755,0.87,97.1
75.1,230,1.04,69.3
50.1,560,1.29,47.3
75.1,595,1.04,69.9
35,380,1.2,34
15,375,1.12,14.7
30,80,1.16,28.3
35,195,1.21,34.1
185.3,235,0.73,159.3
160.2,290,0.76,123.1
125.2,140,0.83,118
120.1,495,0.82,95.4
50.1,795,1.28,47.7
25,145,1.16,24
155.3,285,0.76,120.2
115.2,685,0.86,96.4
175.5,465,0.64,163.3
60.1,345,1.28,53.6
25,640,1.16,24
55.1,370,1.28,53.3
80.2,590,0.95,70.1
135.2,325,0.8,119.9
165,185,0.72,159
15,260,1.09,14.7
70.1,155,1.13,61.3
15,630,1.12,14.6
164.8,360,0.66,159.5
150.2,375,0.83,120.9
165.3,585,0.74,158.9
160.3,365,0.72,123.2
80.2,535,0.94,70
75.1,710,1.04,69.4
20,405,1.12,19.3
140.4,665,0.78,122.7
90.2,385,0.88,79.6
95.1,360,0.84,79.4
105.2,385,0.8,97.2
155.2,375,0.74,119
90.1,640,0.91,80.3
55.1,420,1.31,52.1
190.3,495,0.78,160.8
175.6,190,0.66,160.4
10,350,1.08,9.8
80.1,415,0.93,68.9
135.2,715,0.8,120.3
185.7,415,0.74,160.5
85.2,445,0.97,79.1
75.1,210,1.05,69.3
40,85,1.22,39.3
140.1,635,0.79,122
130.2,380,0.82,119.4
90.1,395,0.91,79.6
140.3,430,0.79,120.8
50.1,260,1.31,46.7
180.1,780,0.67,163.9
120.2,740,0.86,96.2
185.8,285,0.74,160.3
40,45,0.67,37.3
110.2,610,0.89,94.8
185.3,735,0.77,160
10,535,1.09,9.9
135.2,370,0.82,120.9
115.2,295,0.86,95.9
15,610,1.13,14.7
115.3,670,0.85,96.9
175.3,520,0.67,158.6
195.2,730,0.75,157.1
25,435,1.15,24
180.2,730,0.65,164
145.2,260,0.76,121.8
155.2,105,0.69,121.5
70.1,40,0.38,69.7
150.5,210,0.78,121.1
35,555,1.2,34.1
45.1,370,1.25,43.2
15,585,1.09,14.7
175.3,620,0.69,160.1
120.1,245,0.81,97
140.2,60,0.45,110.5
199.2,645,0.87,156.1
120.2,800,0.82,116.3
125.2,620,0.77,121.5
160.2,790,0.67,121.6
35,125,1.18,34.2
120.2,350,0.83,96.9
169.8,105,0.66,130.5
50.1,735,1.31,47
35,250,1.21,33.9
100.1,350,0.82,95.9
80.1,730,0.95,70.3
130.2,405,0.83,118.8
120.2,700,0.83,98.1
40,275,1.2,37
140.2,45,0.31,108.9
155.3,65,0.44,118.2
150.3,590,0.82,120.6
100.2,315,0.8,97.4
115.2,695,0.87,96.6
80.1,435,0.94,69.3
25,690,1.15,24.1
185.4,570,0.78,157.7
95.2,200,0.86,81.7
70.1,485,1.12,61.5
130.2,645,0.83,118.9
60.1,370,1.32,58.4
75.1,90,0.81,65.1
65.1,660,1.28,60.5
100.1,565,0.82,95
150.4,670,0.8,120.1
160.5,690,0.71,123.2
45.1,780,1.26,43.3
160.5,70,0.52,120.7
105.1,370,0.82,96.9
120.2,665,0.83,97.6
130.2,485,0.81,120.2
55.1,565,1.27,53
75.1,730,1.04,69.5
190.4,455,0.75,160.9
200.3,30,0.22,142.2
65.1,490,1.28,60.6
175.3,35,0.29,129.3
165.3,210,0.7,122.7
140.1,485,0.78,119.8
60.1,635,1.3,58.8
170.1,775,0.69,162.9
199.6,615,0.73,159.9
135.2,485,0.81,120.9
85.1,460,0.96,79
175.6,625,0.65,163.2
90.1,465,0.89,79.8
45.1,170,1.28,42.7
40,585,1.22,39.5
65.1,355,1.29,60.4
105.2,115,0.86,91.3
90.1,495,0.93,80.1
70.1,440,1.12,61.4
10,755,1.08,10
168.9,400,0.69,162
70.1,190,1.12,61.7
100.2,385,0.79,98
180.3,615,0.67,163.4
25,620,1.16,24.1
150.2,650,0.86,121.5
110.2,585,0.86,96.8
20,475,1.13,19.4
50.1,140,1.28,47
60.1,735,1.34,57.5
198.3,315,0.82,156
197.8,415,0.74,157.2
20,160,1.13,19.4
50.1,430,1.25,48.5
115.2,515,0.86,97.3
95.1,85,0.72,82.6
120,335,0.83,97.7
60.1,575,1.3,59.2
150.4,530,0.82,121
80.1,65,0.59,69.6
195.3,535,0.69,156.1
169,390,0.68,163.1
175.2,775,0.66,158.2
30,680,1.19,29.7
180.4,140,0.7,163.8
10,50,1.09,9.9
90.1,375,0.9,80.5
115.3,280,0.85,97.3
30,300,1.17,29.8
115.2,770,0.87,95.3
150.5,245,0.84,119.2
160.6,60,0.47,122.5
155.2,605,0.81,121.4
50.1,580,1.3,46.9
110.2,755,0.89,97.3
135.4,455,0.79,121.2
115.2,280,0.88,95.1
159.8,605,0.73,121.8
60.1,590,1.3,53.4
105.2,595,0.8,98.8
75.1,670,1.04,69.5
185.4,145,0.78,154.7
190.4,470,0.74,161.4
110.2,735,0.91,96.5
170.1,135,0.72,161.4
180.2,120,0.74,134.7
10,10,0.49,10
105.2,310,0.79,96
85.1,735,0.94,79.9
140.2,800,0.76,120.6
25,665,1.15,24.1
70.1,385,1.11,61.2
190,510,0.78,154.4
85.2,360,0.97,79.4
199.4,640,0.78,158.7
125.2,315,0.81,121.2
85.1,555,0.96,79
120.2,325,0.83,95.4
65.1,240,1.29,60.5
20,415,1.16,19.9
50.1,420,1.27,47.5
179.3,600,0.68,164.3
140.2,585,0.73,122
105.3,210,0.9,93.7
150.2,455,0.84,119.6
165.1,760,0.7,123.4
90.1,310,0.92,80.1
140.2,365,0.76,121
120.1,310,0.83,96.9
135.2,145,0.81,122.1
159.9,135,0.76,123
20,580,1.12,19.3
40,790,1.19,39.8
35,230,1.21,33.9
60.1,150,1.29,59.3
180.3,590,0.67,163.5
40.1,95,1.24,39.2
20,765,1.13,19.3
170.3,585,0.65,161
80.1,180,0.93,69.6
190.3,705,0.78,160.7
70.1,120,1.12,62.8
130.2,520,0.84,118.8
130.4,395,0.84,119.9
80.2,640,0.95,69.6
160.3,135,0.71,122.2
165.2,565,0.68,123.7
115.2,720,0.87,96.4
140.4,570,0.76,122.1
35,95,1.2,34
70.1,500,1.14,61.4
30,135,1.15,29.9
105.1,575,0.8,97
70.1,260,1.15,61.5
85.1,360,0.95,79.4
150.4,205,0.96,121
60.1,355,1.34,57.6
130.2,610,0.84,119.5
70.1,365,1.1,61.5
50.1,70,0.85,46
55.1,430,1.3,52.3
197.4,675,0.76,157.8
130.2,715,0.86,119.9
180.3,190,0.72,164.4
55.1,110,1.22,49.6
140.2,650,0.79,121.1
55.1,155,1.29,53
50.1,545,1.28,47.5
198.6,555,0.77,158.5
10,560,1.09,9.9
175.3,795,0.66,162.2
190.3,225,0.73,159.3
10,340,1.09,9.9
60.1,625,1.31,58.8
165.3,55,0.35,123.1
95.1,510,0.84,80.6
100.2,510,0.8,98
135,120,0.8,106.4
125.2,400,0.78,120.5
55.1,650,1.32,51.7
160.3,500,0.74,123.1
15,780,1.1,14.7
45.1,470,1.25,43.1
40,795,1.24,39.3
75.1,555,1.04,69.2
115.2,335,0.85,95.8
45.1,150,1.28,42.6
145.3,785,0.8,123
65.1,35,0.39,58.1
50.1,280,1.27,47.4
25,85,1.16,24.1
90.1,70,0.58,76.7
30,785,1.18,29.8
90.1,355,0.9,80.1
139.8,410,0.81,123
174.9,660,0.62,161.8
70.1,600,1.14,61.4
25,155,1.17,24
180.3,480,0.75,157.7
135.2,640,0.81,122.3
110.3,190,0.9,94.1
80.1,200,0.95,69.2
190.7,375,0.72,160.6
139.5,330,0.78,120.9
45.1,305,1.25,43
35,785,1.23,33.7
10,375,1.09,9.8
193.8,660,0.82,154.4
60.1,755,1.31,58.5
170.6,20,0.21,169
135.3,15,0.16,106.3
50.1,50,0.6,49.8
150.2,200,0.91,120.8
175.6,350,0.7,163.6
185.3,265,0.75,158.3
90.1,485,0.9,79.7
194.3,595,0.75,156.7
155.2,670,0.81,121.1
194,755,0.79,156.3
160.3,600,0.69,119.9
160.3,675,0.76,122
199.5,100,0.57,191.4
40,760,1.2,39.8
110.2,740,0.92,93.9
30,185,1.18,29.8
190.5,25,0.31,186.7
110.2,345,0.88,94.3
30,390,1.17,28.4
55.1,280,1.3,53.2
65.1,135,1.32,60.7
185.3,680,0.76,160.8
65.1,400,1.3,60.6
80.1,320,0.94,69.5
40,220,1.21,39.7
35,405,1.21,34
140.2,310,0.79,119.9
193.4,155,0.77,156.8
10,185,1.1,9.9
145.2,690,0.76,122.6
100.3,15,0.16,83.5
65.1,465,1.27,60.4
70.1,680,1.14,61.4
65.1,695,1.28,60.8
100.2,135,0.83,96.2
10,70,1.1,9.9
200.4,405,0.77,159.5
160,580,0.74,121.7
90.1,115,0.95,80.9
145.3,570,0.86,119.1
50.1,785,1.3,47
55.1,590,1.28,52.8
100.1,235,0.8,96.9
20,535,1.14,19.3
40,185,1.23,39.4
180.2,445,0.66,164.5
30,360,1.17,29.8
35,295,1.22,33.9
190.4,30,0.29,136.8
15,50,1.09,14.8
135,605,0.79,118.8
105.3,675,0.8,98
100.1,775,0.78,96.8
105.2,345,0.79,96.1
95.1,660,0.84,93.2
150.2,695,0.91,120
50.1,630,1.29,47.8
50.1,780,1.29,46.8
145.3,680,0.73,123.4
25,295,1.16,24
75.1,790,1.05,69.7
140.2,175,0.8,121.5
175.2,360,0.64,163.5
95.1,650,0.84,80.4
40.1,25,0.37,39.9
155,750,0.77,119.9
160.3,255,0.73,122
40,130,1.2,39.6
130.2,530,0.83,120.7
164.1,305,0.65,159.5
175.3,580,0.68,163.6
120.2,225,0.82,96.2
80.1,505,0.94,69.7
160.2,665,0.72,121.4
15,530,1.11,14.7
150.3,430,0.83,120.6
169.1,375,0.66,162.8
145.2,250,0.87,120.5
30,615,1.17,29.8
170.3,335,0.69,160.6
194.3,735,0.82,157.9
175.4,200,0.67,162.4
115.2,200,0.88,95.5
145.5,585,0.73,123.2
180.6,10,1.25,166.4
120,635,0.83,95.9
155.3,475,0.79,119.9
135.4,595,0.81,121.7
115.2,410,0.86,96.7
135.2,460,0.78,122.3
100.1,190,0.84,95.6
199.1,270,0.79,157.3
185.3,720,0.77,157
180.1,130,0.68,160.1
185.3,555,0.75,157.4
55.1,730,1.3,52.4
80.1,525,0.92,69.4
30,90,1.18,29.8
185.5,125,0.63,179.4
115.2,135,0.89,95.5
195.4,65,0.41,139.6
195.2,425,0.76,157.3
90.1,40,0.33,89.4
180.3,215,0.67,164.1
35,625,1.19,34.1
15,760,1.11,14.7
50.1,600,1.28,47.6
80.1,460,0.92,69.4
90.1,160,0.91,80
75.1,680,1.04,69.1
135.2,410,0.85,121.6
25,15,0.35,24
25,30,0.67,24
125.3,25,0.18,124.5
90.1,630,0.9,80.3
105.1,390,0.9,95.1
175.3,355,0.68,163.3
180.3,75,0.46,133.6
90.1,90,0.71,75.9
145.2,355,0.85,120
139.9,160,0.79,122.5
175.6,690,0.66,161.6
125.2,675,0.83,117.9
125.2,780,0.85,120.9
75.1,140,1.07,69
115.2,605,0.86,96.8
110.2,595,0.9,95.6
40,140,1.22,39.3
90.1,125,0.95,88.5
195.2,585,0.76,158.8
150.2,60,0.44,116.3
90.1,405,0.9,79.7
25,645,1.17,24
175.3,435,0.74,160.3
55.1,695,1.29,52.6
15,225,1.13,14.6
60.1,540,1.28,59.2
150.2,515,0.82,119.8
20,695,1.13,19.3
165.5,105,0.67,127.5
155.6,20,0.16,154.2
190.4,125,0.67,183.6
115,155,0.85,93.4
150.2,110,0.65,114.6
194.2,415,0.77,159.7
90.1,435,0.9,79.4
150.4,585,0.84,121.8
195.4,700,0.73,155.9
125.2,185,0.82,121.6
65.1,535,1.28,61.1
45.1,430,1.26,42.8
185.3,610,0.77,155.2
195.1,250,0.74,158.5
40,155,1.21,39.7
135.2,30,0.23,105.9
105.2,10,0.09,104.6
105.3,605,0.9,94.3
145.2,165,0.77,122.9
80.1,125,1.03,78.8
65.1,685,1.29,60.9
169.9,495,0.7,162.8
70.1,85,0.83,64.3
35,635,1.2,34.1
30,715,1.17,29.9
40.1,385,1.2,39.8
70.1,205,1.15,61.2
175.3,495,0.68,163.5
125.2,150,0.87,116.3
100.1,530,0.8,96.9
60.1,365,1.29,59
70.1,760,1.13,61.7
110.3,765,0.94,94.6
120.3,340,0.85,97.9
125.2,270,0.84,118.3
170.5,575,0.67,161.5
65.1,720,1.29,60.8
140.2,205,0.79,121.1
10,650,1.09,9.8
70.1,540,1.12,61.7
80.1,590,0.93,69.7
115.2,40,0.28,114.1
185.3,765,0.73,160.2
20,650,1.12,19.4
35,150,1.19,34.4
190.3,175,0.8,160.2
85.1,285,0.97,80.1
115.2,425,0.85,96
100,770,0.84,95.8
100.2,570,0.8,97
179.9,770,0.69,161.5
60.1,80,0.88,55
170.3,610,0.69,160.4
45,455,1.21,44.2
10,220,1.11,9.8
160.2,470,0.71,121.5
110.2,435,0.89,94.8
25,400,1.15,24
179.7,155,0.7,164.1
85.1,800,0.96,78.9
155.3,250,0.75,122.6
100.3,575,0.78,97.7
35,775,1.2,34
70.1,720,1.13,61.5
75.1,330,1.04,69.1
175.6,125,0.68,169.8
195.4,80,0.54,141.3
15,480,1.12,14.7
80.1,700,0.95,69.8
120.2,205,0.86,115.6
75,550,1.04,69.8
35,335,1.21,34
60.1,475,1.35,57.9
145.3,285,0.75,123
165.5,420,0.65,123.9
65,290,1.28,60.9
195,45,0.31,138.6
15,20,0.69,15
95.1,555,0.83,80.8
75.1,260,1.06,69.2
40.1,320,1.24,39.4
105.3,160,0.93,93.5
55.1,235,1.28,53.1
140,530,0.76,122.6
50.1,310,1.27,47.4
85.1,590,0.96,79.9
75.1,575,1.04,69
125.2,45,0.31,99.8
25,595,1.14,24.2
160.3,400,0.72,122.1
105.2,535,0.93,93.7
60.1,715,1.31,58.5
100.1,220,0.79,96.7
40,505,1.21,37
25,480,1.15,24.1
30,105,1.18,29.8
120.2,605,0.83,96.5
45.1,715,1.26,42.8
120.2,295,0.82,95.5
199.3,690,0.7,160.7
140.3,125,0.73,136.6
190.4,595,0.76,159.8
45.1,110,1.28,42.6
90.1,135,0.91,79.8
30,530,1.17,29.8
50.1,15,0.22,45.7
30,255,1.17,29.9
195.4,580,0.76,160.1
95.1,240,0.83,79.6
35,795,1.19,34.2
10,695,1.09,9.8
189.7,65,0.59,137.4
45.1,420,1.26,43.2
140.2,520,0.78,120.9
150.2,635,0.84,121.3
120.2,35,0.29,97.4
90.1,745,0.89,80.7
55.1,295,1.31,52.6
60.1,30,0.33,53.9
135.2,585,0.8,121.6
25,550,1.15,24
35,575,1.2,34.1
70.1,455,1.15,61.4
75.1,365,1.04,69.2
25,305,1.15,24.1
90.1,205,0.92,79.9
80.1,35,0.34,69.6
40,565,1.22,39.6
15,645,1.1,14.7
105.1,275,0.82,96.3
110.3,620,0.89,96.3
45.1,680,1.24,43.6
164.7,765,0.69,160.3
105.2,480,0.93,93.1
70.1,180,1.14,61.6
120.2,630,0.8,97
110.3,335,0.9,96.2
130.2,425,0.85,120.3
40,55,0.8,37.2
175.6,290,0.64,161.6
45.1,620,1.24,43.4
30,275,1.16,29.9
25,60,1.15,24.1
15,135,1.09,14.7
169.3,185,0.71,161.8
130.2,230,0.83,119.6
20,255,1.14,19.2
80.1,690,0.92,68.9
165.3,600,0.69,123.9
15,635,1.12,14.7
125.2,685,0.86,117.5
55.1,410,1.32,52.1
10,500,1.07,9.8
80.1,105,0.94,71.1
185.4,505,0.73,160.1
55.1,720,1.26,53.7
15,65,1.1,14.8
125.2,410,0.83,118.4
50.1,235,1.3,47.1
40,65,0.95,37.7
65.1,365,1.29,60.4
65.1,170,1.27,60.4
45,655,1.24,43.8
176.8,765,0.84,154.8
160.3,620,0.75,120.9
180.6,385,0.68,163.6
135.2,235,0.81,120.8
95.1,115,0.95,83.4
20,755,1.13,19.3
90.1,755,0.91,80.1
120.3,635,0.81,96.9
100.1,485,0.81,95.9
40,165,1.2,36.9
25,355,1.16,24
165.3,735,0.7,160.4
95.1,475,0.83,80.3
145.6,190,0.88,120.1
197.6,700,0.77,158.3
165.2,80,0.5,124.9
190.2,300,0.78,160.7
130.2,330,0.83,121.3
40,425,1.23,39.4
198.6,360,0.78,158
180.3,125,0.65,174
80.1,220,0.93,69.1
15,445,1.12,14.7
55.1,555,1.28,52.5
55.1,10,0.12,55
60.1,600,1.33,58.1
25,410,1.16,24
65.1,180,1.28,60.4
90.1,280,0.9,79.1
100.1,670,0.84,96.1
155.2,215,0.76,120.7
115.2,570,0.87,98
75.1,80,0.75,66.6
20,300,1.13,19.3
15,125,1.11,14.7
150.3,30,0.23,114.7
155.3,355,0.77,121.6
55.1,765,1.31,52.1
135.2,445,0.81,120.1
30,20,0.38,30
170.3,675,0.7,161.7
175.3,475,0.68,160.7
135.2,40,0.26,134.2
155.3,740,0.76,122.3
190.4,390,0.76,161.1
60.1,275,1.35,57.7
25,100,1.16,24
194.8,700,0.73,156.9
30,765,1.18,29.9
125.2,245,0.82,118.6
25,190,1.16,24
45.1,600,1.27,42.6
125.3,595,0.82,118.6
55.1,30,0.36,49.9
65.1,755,1.3,60.8
165.3,150,0.65,124
199.1,535,0.79,158.9
150.3,700,0.88,120.6
60.1,265,1.36,57.5
125.1,390,0.81,121.5
135.1,775,0.79,122.3
150.2,10,0.11,149.1
15,670,1.13,14.7
110.2,480,0.9,96.3
135.2,725,0.82,121.1
20,185,1.14,19.2
80.1,170,0.93,69.7
95.1,425,0.85,80.8
35,75,1.18,34.4
60.1,110,1.13,53.6
135.4,685,0.81,121.6
40,315,1.22,37.3
145.2,760,0.87,117.6
15,700,1.09,14.7
80.1,190,0.95,69.6
70.1,340,1.15,61.5
20,310,1.14,19.3
50,605,1.25,48.1
125.2,235,0.8,120.9
100.2,490,0.79,97.6
30,320,1.18,28.2
185.3,750,0.79,154.8
80.1,375,0.94,69.6
95.1,615,0.84,80.4
185.3,460,0.74,159.5
130.2,265,0.86,120
160.3,305,0.69,122.1
60.1,725,1.34,57.7
175.2,405,0.66,163.6
200.3,435,0.68,157.9
120.2,370,0.84,98.8
20,140,1.17,19.9
35,800,1.2,34.1
160.3,550,0.74,122.8
65.1,675,1.31,60.6
25,495,1.16,24.1
65.1,320,1.27,60.7
100.2,190,0.82,95.6
185.3,360,0.76,153.8
115.3,185,0.87,94.8
105.2,460,0.8,96.6
50.1,75,0.91,46.1
25,95,1.16,24
95.1,345,0.84,79.4
75.1,15,0.16,65.5
115.2,615,0.87,96.6
25,680,1.15,24
115.2,505,0.87,97.6
30,625,1.15,28.4
195.3,305,0.75,160.5
70.1,65,0.63,62.1
85.1,705,0.98,79.7
65.1,800,1.28,60.3
15,305,1.13,14.7
120.1,730,0.82,98.9
65.1,795,1.29,60.8
15,565,1.1,14.7
40,405,1.22,39.6
